stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score
stage2,5,5,0.0,cosine,42,50,100.0,eom,0.2,euclidean,ok,完成,15,0.47285480051011114,5191,477,362,1283,0.11687010384405173,0.2217161595919111,0.9095124670132309,0.7165385316086719
stage2,5,5,0.0,cosine,42,50,100.0,leaf,0.0,euclidean,ok,完成,19,0.595919110949171,6542,477,362,477,0.04345053743851339,0.12707232647112407,0.9404073989272609,0.7623980688650028
stage2,5,5,0.0,cosine,42,50,100.0,leaf,0.05,euclidean,ok,完成,19,0.595919110949171,6542,477,362,477,0.04345053743851339,0.12707232647112407,0.9404073989272609,0.7623980688650028
stage2,5,5,0.0,cosine,42,50,100.0,leaf,0.1,euclidean,ok,完成,19,0.595919110949171,6542,477,362,477,0.04345053743851339,0.12707232647112407,0.9404073989272609,0.7623980688650028
stage2,5,5,0.0,cosine,42,50,100.0,leaf,0.2,euclidean,ok,完成,19,0.595919110949171,6542,477,362,477,0.04345053743851339,0.12707232647112407,0.9404073989272609,0.7623980688650028
stage2,5,5,0.0,cosine,42,75,,eom,0.0,euclidean,ok,完成,15,0.41136819092730914,4516,595,1472,1472,0.1340863545272363,0.2979595554745855,0.8712454107218869,0.7106358170887229
stage2,5,5,0.0,cosine,42,75,,eom,0.05,euclidean,ok,完成,15,0.41136819092730914,4516,595,1472,1472,0.1340863545272363,0.2979595554745855,0.8712454107218869,0.7106358170887229
stage2,5,5,0.0,cosine,42,75,,eom,0.1,euclidean,ok,完成,15,0.41136819092730914,4516,595,1472,1472,0.1340863545272363,0.2979595554745855,0.8712454107218869,0.7106358170887229
stage2,5,5,0.0,cosine,42,75,,eom,0.2,euclidean,ok,完成,15,0.41136819092730914,4516,595,1472,1472,0.1340863545272363,0.2979595554745855,0.8712454107218869,0.7106358170887229
stage2,5,5,0.0,cosine,42,75,,leaf,0.0,euclidean,ok,完成,19,0.5268719256695209,5784,595,379,595,0.05419930770632173,0.14091820003643651,0.9460665211140031,0.77312862087812
stage2,5,5,0.0,cosine,42,75,,leaf,0.05,euclidean,ok,完成,19,0.5268719256695209,5784,595,379,595,0.05419930770632173,0.14091820003643651,0.9460665211140031,0.77312862087812
stage2,5,5,0.0,cosine,42,75,,leaf,0.1,euclidean,ok,完成,19,0.5268719256695209,5784,595,379,595,0.05419930770632173,0.14091820003643651,0.9460665211140031,0.77312862087812
stage2,5,5,0.0,cosine,42,75,,leaf,0.2,euclidean,ok,完成,19,0.5268719256695209,5784,595,379,595,0.05419930770632173,0.14091820003643651,0.9460665211140031,0.77312862087812
